date_time,DJIA_Price,DJIA_Open,DJIA_High,DJIA_Low,DJIA_Vol.,DJIA_Change %
2012-03-01,13212.04,12952.29,13289.08,12734.86,3200000000.0,2.01
2012-02-01,12952.07,12632.76,13055.75,12632.76,2710000000.0,2.53
2012-01-01,12632.91,12221.19,12841.95,12221.19,2980000000.0,3.4
2011-12-01,12217.56,12046.21,12328.47,11735.19,3150000000.0,1.43
2011-11-01,12045.68,11951.53,12187.51,11231.56,3400000000.0,0.76
2011-10-01,11955.01,10912.1,12284.31,10404.49,3910000000.0,9.54
2011-09-01,10913.38,11613.3,11716.84,10597.14,4400000000.0,-6.03
2011-08-01,11613.53,12144.22,12282.42,10604.07,6200000000.0,-4.36
2011-07-01,12143.24,12412.07,12753.89,12083.45,3090000000.0,-2.18
2011-06-01,12414.34,12569.41,12569.49,11862.53,3880000000.0,-1.24
2011-05-01,12569.79,12810.16,12876.0,12309.52,3580000000.0,-1.88
2011-04-01,12810.54,12321.02,12832.83,12093.89,3320000000.0,3.98
2011-03-01,12319.73,12226.49,12383.46,11555.48,3850000000.0,0.76
2011-02-01,12226.34,11892.5,12391.29,11892.5,3220000000.0,2.81
2011-01-01,11891.93,11577.43,12020.52,11573.87,3680000000.0,2.72
2010-12-01,11577.51,11007.23,11625.0,11007.23,3250000000.0,5.19
2010-11-01,11006.02,11120.3,11451.53,10929.28,3810000000.0,-1.01
2010-10-01,11118.49,10789.72,11247.6,10711.12,3790000000.0,3.06
2010-09-01,10788.05,10016.01,10948.88,10016.01,3760000000.0,7.72
2010-08-01,10014.72,10468.82,10719.94,9936.62,4120000000.0,-4.31
2010-07-01,10465.94,9773.27,10584.99,9614.32,4200000000.0,7.08
2010-06-01,9774.02,10133.94,10594.16,9753.84,4940000000.0,-3.58
2010-05-01,10136.63,11009.6,11177.67,9774.48,5610000000.0,-7.92
2010-04-01,11008.61,10857.31,11258.01,10844.09,4240000000.0,1.4
2010-03-01,10856.63,10326.1,10955.48,10326.1,4390000000.0,5.15
2010-02-01,10325.26,10068.99,10438.55,9835.09,4280000000.0,2.56
2010-01-01,10067.33,10430.69,10729.89,10043.75,4390000000.0,-3.46
2009-12-01,10428.05,10343.82,10580.33,10235.63,4170000000.0,0.8
2009-11-01,10344.84,9712.13,10495.61,9678.95,3810000000.0,6.51
2009-10-01,9712.73,9711.6,10119.47,9430.08,5150000000.0,0.0
2009-09-01,9712.28,9492.32,9917.99,9252.93,4480000000.0,2.27
2009-08-01,9496.28,9173.65,9630.2,9116.52,4040000000.0,3.54
2009-07-01,9171.61,8447.53,9246.43,8087.19,4900000000.0,8.58
2009-06-01,8447.0,8501.53,8877.93,8259.43,5520000000.0,-0.63
2009-05-01,8500.33,8167.41,8591.93,8099.31,6730000000.0,4.07
2009-04-01,8168.12,7606.13,8307.51,7483.87,7800000000.0,7.35
2009-03-01,7608.92,7056.48,7931.33,6469.95,10560000000.0,7.73
2009-02-01,7062.93,8000.62,8315.07,7033.62,7130000000.0,-11.72
2009-01-01,8000.86,8772.25,9088.06,7909.03,6260000000.0,-8.84
2008-12-01,8776.39,8826.89,9026.41,8118.5,5700000000.0,-0.6
2008-11-01,8829.04,9326.04,9653.95,7449.38,6260000000.0,-5.32
2008-10-01,9325.01,10847.4,10882.52,7882.51,8310000000.0,-14.06
2008-09-01,10850.66,11545.63,11790.17,10365.45,6300000000.0,-6.0
2008-08-01,11543.55,11379.89,11867.11,11221.53,3580000000.0,1.45
2008-07-01,11378.02,11344.64,11698.17,10827.71,5520000000.0,0.25
2008-06-01,11350.01,12637.67,12638.08,11287.56,5310000000.0,-10.19
2008-05-01,12638.32,12818.34,13136.69,12442.59,4530000000.0,-1.42
2008-04-01,12820.13,12266.64,13010.0,12266.47,5050000000.0,4.54
2008-03-01,12262.89,12264.36,12622.07,11731.6,6230000000.0,-0.03
2008-02-01,12266.39,12638.17,12767.74,12069.47,5720000000.0,-3.04
2008-01-01,12650.36,13261.82,13279.54,11634.82,7460000000.0,-4.63
2007-12-01,13264.82,13368.22,13780.11,13092.0,4310000000.0,-0.8
2007-11-01,13371.72,13924.16,13924.16,12724.09,5980000000.0,-4.01
2007-10-01,13930.01,13895.71,14198.1,13407.49,5010000000.0,0.25
2007-09-01,13895.63,13358.39,13924.81,13021.93,4330000000.0,4.03
2007-08-01,13357.74,13211.09,13695.82,12517.94,6200000000.0,1.1
2007-07-01,13211.99,13409.6,14021.95,13199.79,5510000000.0,-1.47
2007-06-01,13408.62,13628.69,13692.0,13251.53,5220000000.0,-1.61
2007-05-01,13627.64,13062.75,13673.07,13041.3,4990000000.0,4.32
2007-04-01,13062.91,12354.52,13162.06,12324.28,4820000000.0,5.74
2007-03-01,12354.35,12265.59,12511.05,11939.61,5630000000.0,0.7
2007-02-01,12268.63,12617.2,12795.93,12086.06,4350000000.0,-2.8
2007-01-01,12621.69,12459.54,12657.02,12337.37,4990000000.0,1.27
2006-12-01,12463.15,12220.97,12529.88,12089.98,4340000000.0,1.97
2006-11-01,12221.93,12080.25,12361.0,11965.31,4720000000.0,1.17
